,semantic,correct_relationships,model,CF,dataset
0,0.0,0.0,MLP,cchvae,credit
1,0.0,0.0,MLP,cchvae,credit
2,0.0,0.0,MLP,cchvae,credit
3,0.0,0.0,MLP,cchvae,credit
4,0.0,0.0,MLP,cchvae,credit
5,0.0,0.0,MLP,cchvae,credit
6,0.0,0.0,MLP,cchvae,credit
7,0.0,0.0,MLP,cchvae,credit
8,0.0,0.0,MLP,cchvae,credit
9,0.0,0.0,MLP,cchvae,credit
10,0.0,0.0,MLP,cchvae,credit
11,0.0,0.0,MLP,cchvae,credit
12,0.0,0.0,MLP,cchvae,credit
13,0.0,0.0,MLP,cchvae,credit
14,0.0,0.0,MLP,cchvae,credit
15,0.0,0.0,MLP,cchvae,credit
16,0.0,0.0,MLP,cchvae,credit
17,0.0,0.0,MLP,cchvae,credit
18,0.0,0.0,MLP,cchvae,credit
19,0.0,0.0,MLP,cchvae,credit
20,0.0,0.0,MLP,cchvae,credit
21,0.0,0.0,MLP,cchvae,credit
22,0.0,0.0,MLP,cchvae,credit
23,0.0,0.0,MLP,cchvae,credit
24,0.0,0.0,MLP,cchvae,credit
25,0.0,0.0,MLP,cchvae,credit
26,0.0,0.0,MLP,cchvae,credit
27,0.0,0.0,MLP,cchvae,credit
28,0.0,0.0,MLP,cchvae,credit
29,0.0,0.0,MLP,cchvae,credit
30,0.0,0.0,MLP,cchvae,credit
31,0.0,0.0,MLP,cchvae,credit
32,0.0,0.0,MLP,cchvae,credit
33,0.0,0.0,MLP,cchvae,credit
34,0.0,0.0,MLP,cchvae,credit
35,0.0,0.0,MLP,cchvae,credit
36,0.0,0.0,MLP,cchvae,credit
37,0.0,0.0,MLP,cchvae,credit
38,0.0,0.0,MLP,cchvae,credit
39,0.0,0.0,MLP,cchvae,credit
40,0.0,0.0,MLP,cchvae,credit
41,0.0,0.0,MLP,cchvae,credit
42,0.0,0.0,MLP,cchvae,credit
43,0.0,0.0,MLP,cchvae,credit
44,0.0,0.0,MLP,cchvae,credit
45,0.0,0.0,MLP,cchvae,credit
46,0.0,0.0,MLP,cchvae,credit
47,0.0,0.0,MLP,cchvae,credit
48,0.0,0.0,MLP,cchvae,credit
49,0.0,0.0,MLP,cchvae,credit
50,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
51,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
52,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
53,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
54,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
55,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
56,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
57,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
58,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
59,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
60,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
61,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
62,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
63,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
64,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
65,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
66,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
67,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
68,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
69,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
70,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
71,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
72,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
73,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
74,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
75,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
76,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
77,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
78,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
79,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
80,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
81,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
82,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
83,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
84,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
85,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
86,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
87,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
88,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
89,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
90,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
91,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
92,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
93,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
94,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
95,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
96,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
97,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
98,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
99,0.8571428571428571,0.8571428571428571,MLP,cchvae,credit
