,semantic,correct_relationships,Success_Rate,model,CF,dataset
0,0.0,0.0,1.0,linear0,cchvae,credit
1,0.0,0.0,,linear0,cchvae,credit
2,0.0,0.0,,linear0,cchvae,credit
3,0.0,0.0,,linear0,cchvae,credit
4,0.0,0.0,,linear0,cchvae,credit
5,0.0,0.0,,linear0,cchvae,credit
6,0.0,0.0,,linear0,cchvae,credit
7,0.0,0.0,,linear0,cchvae,credit
8,0.0,0.0,,linear0,cchvae,credit
9,0.0,0.0,,linear0,cchvae,credit
10,0.0,0.0,,linear0,cchvae,credit
11,0.0,0.0,,linear0,cchvae,credit
12,0.0,0.0,,linear0,cchvae,credit
13,0.0,0.0,,linear0,cchvae,credit
14,0.0,0.0,,linear0,cchvae,credit
15,0.0,0.0,,linear0,cchvae,credit
16,0.0,0.0,,linear0,cchvae,credit
17,0.0,0.0,,linear0,cchvae,credit
18,0.0,0.0,,linear0,cchvae,credit
19,0.0,0.0,,linear0,cchvae,credit
20,0.0,0.0,,linear0,cchvae,credit
21,0.0,0.0,,linear0,cchvae,credit
22,0.0,0.0,,linear0,cchvae,credit
23,0.0,0.0,,linear0,cchvae,credit
24,0.0,0.0,,linear0,cchvae,credit
25,0.0,0.0,,linear0,cchvae,credit
26,0.0,0.0,,linear0,cchvae,credit
27,0.0,0.0,,linear0,cchvae,credit
28,0.0,0.0,,linear0,cchvae,credit
29,0.0,0.0,,linear0,cchvae,credit
30,0.0,0.0,,linear0,cchvae,credit
31,0.0,0.0,,linear0,cchvae,credit
32,0.0,0.0,,linear0,cchvae,credit
33,0.0,0.0,,linear0,cchvae,credit
34,0.0,0.0,,linear0,cchvae,credit
35,0.0,0.0,,linear0,cchvae,credit
36,0.0,0.0,,linear0,cchvae,credit
37,0.0,0.0,,linear0,cchvae,credit
38,0.0,0.0,,linear0,cchvae,credit
39,0.0,0.0,,linear0,cchvae,credit
40,0.0,0.0,,linear0,cchvae,credit
41,0.0,0.0,,linear0,cchvae,credit
42,0.0,0.0,,linear0,cchvae,credit
43,0.0,0.0,,linear0,cchvae,credit
44,0.0,0.0,,linear0,cchvae,credit
45,0.0,0.0,,linear0,cchvae,credit
46,0.0,0.0,,linear0,cchvae,credit
47,0.0,0.0,,linear0,cchvae,credit
48,0.0,0.0,,linear0,cchvae,credit
49,0.0,0.0,,linear0,cchvae,credit
50,0.0,0.0,,linear0,cchvae,credit
51,0.0,0.0,,linear0,cchvae,credit
52,0.0,0.0,,linear0,cchvae,credit
53,0.0,0.0,,linear0,cchvae,credit
54,0.0,0.0,,linear0,cchvae,credit
55,0.0,0.0,,linear0,cchvae,credit
56,0.0,0.0,,linear0,cchvae,credit
57,0.0,0.0,,linear0,cchvae,credit
58,0.0,0.0,,linear0,cchvae,credit
59,0.0,0.0,,linear0,cchvae,credit
60,0.0,0.0,,linear0,cchvae,credit
61,0.0,0.0,,linear0,cchvae,credit
